,MATICUSDT,STXUSDT,Spread,ZScore
0,0.9884,0.27,0.00019999999999986695,
1,0.9839,0.272,-0.011620000000000075,
2,0.9865,0.274,-0.016340000000000132,
3,1.0085,0.277,-0.0053200000000002134,
4,1.0248,0.275,0.01829999999999976,
5,1.0184,0.273,0.019219999999999904,
6,1.0273,0.275,0.02079999999999993,
7,1.0327,0.276,0.022539999999999782,
8,1.0216,0.278,0.0041199999999999015,
9,1.0161,0.275,0.009599999999999831,
10,0.9886,0.264,0.022359999999999935,
11,0.9929,0.267,0.015679999999999916,
12,0.9938,0.266,0.020239999999999925,
13,0.9986,0.267,0.021379999999999955,
14,0.9924,0.276,-0.01776000000000022,
15,0.9921,0.272,-0.0034200000000000896,
16,0.9867,0.273,-0.012480000000000047,
17,0.9946,0.274,-0.008240000000000136,
18,0.9947,0.273,-0.0044800000000000395,
19,0.9994,0.273,0.00021999999999988695,
20,1.008,0.275,0.0014999999999998348,-0.22089773632096613
21,1.0143,0.275,0.007799999999999807,0.20319155176097087
22,1.025,0.275,0.01849999999999974,0.8807247421245009
23,1.017,0.274,0.014159999999999728,0.4932330506485322
24,1.0203,0.274,0.01745999999999981,0.6772052996503765
25,1.02,0.276,0.009839999999999849,0.10584309239453812
26,1.014,0.271,0.022139999999999938,1.0729898206304722
27,1.0052,0.269,0.02066000000000001,0.9561853387091588
28,1.0117,0.269,0.027159999999999962,1.4233347780677374
29,1.0143,0.27,0.0260999999999999,1.2140011992868929
30,1.0163,0.268,0.035419999999999896,1.6807709848292833
31,1.0185,0.269,0.03395999999999988,1.4742787886763287
32,1.0071,0.269,0.022560000000000024,0.6898168821848838
33,1.0146,0.271,0.02273999999999987,0.690337744123889
34,1.0178,0.271,0.025939999999999963,0.8752259571493454
35,1.0125,0.271,0.02063999999999988,0.4613753136030561
36,1.0095,0.27,0.021299999999999986,0.4410014709503702
37,1.0152,0.273,0.016020000000000034,-0.060347190357871
38,1.0129,0.273,0.013719999999999843,-0.39086004857850165
39,1.0132,0.273,0.014020000000000032,-0.5094141981674305
40,1.0189,0.274,0.01605999999999974,-0.4138138805926705
41,1.0114,0.271,0.019540000000000002,-0.10488658698827424
42,1.0112,0.269,0.026660000000000017,0.8439269021240485
43,1.0129,0.272,0.01737999999999984,-0.5723490000723619
44,1.02,0.274,0.017159999999999842,-0.6404844446634671
45,1.0205,0.273,0.021319999999999895,-0.019667831765993744
46,1.0143,0.272,0.018779999999999908,-0.5325986638972833
47,1.0094,0.271,0.01754,-0.6994266638216324
48,1.0061,0.271,0.01423999999999992,-1.165758057451384
49,0.9941,0.27,0.005899999999999905,-2.1208193735875756
50,0.9986,0.273,-0.0005800000000000249,-2.439658673364399
51,1.0053,0.271,0.013440000000000007,-0.6353429148882036
52,1.0079,0.271,0.016039999999999943,-0.18073153606387185
53,1.0065,0.27,0.018299999999999872,0.21980673827310604
54,1.0058,0.271,0.013939999999999952,-0.43490989122671114
55,1.0112,0.27,0.02300000000000002,1.1416091059594644
56,1.008,0.268,0.027119999999999922,1.6852495613238452
57,1.0038,0.268,0.02291999999999994,0.9817542322195316
58,0.9939,0.265,0.02399999999999991,1.0613835797911895
59,0.9938,0.264,0.027559999999999918,1.4383622908954725
60,0.9861,0.263,0.023519999999999874,0.7688521207578144
61,0.9869,0.264,0.0206599999999999,0.3172786761505023
62,0.9954,0.266,0.02183999999999986,0.4718214496930251
63,1.0072,0.268,0.02632000000000001,1.1311602386199673
64,1.0137,0.268,0.03281999999999996,1.800411774713823
65,0.9758,0.259,0.027859999999999885,1.0419899287035264
66,0.9526,0.248,0.04491999999999996,2.5350577742020732
67,0.9674,0.256,0.030440000000000023,0.9242102239467285
68,0.9671,0.257,0.026479999999999948,0.4694568813187194
69,0.965,0.256,0.028039999999999954,0.5675620574056104
70,0.9535,0.252,0.031179999999999986,0.8240354501080648
71,0.9504,0.254,0.02076,-0.5746612189124084
72,0.9536,0.253,0.027619999999999978,0.32338318791486426
73,0.938,0.249,0.026659999999999906,0.1065114113728574
74,0.9391,0.251,0.020440000000000014,-0.9281248017647579
75,0.9392,0.251,0.020540000000000003,-1.051023202698532
76,0.9439,0.252,0.021579999999999933,-0.8450286399725245
77,0.943,0.252,0.02067999999999992,-0.9289006782762328
